,title,price,condition,bids,sold date,postage
66, RX 470 RX 480 RX 570 RX580 rx480 rx580 Bios MOD H.R 27/31 800+ CryptoNig mining,3.82,Brand new,*Buy Now*,22-Aug 19:49,Free
67,MSI Radeon RX 580 8GB ARMOR Graphics Card,154.49,Brand new,*Buy Now*,22-Aug 19:48,Free
68,SAPPHIRE NITRO+ RADEON RX 580 8GB GDDR5 GRAPHICS CARD. VERY GOOD CONDITION.,132.0,Pre-owned,16 bids,22-Aug 19:22,4.10
70,XFX Radeon RX 580 8GB GTS XXX Graphics Card,122.5,Pre-owned,18 bids,22-Aug 19:09,9.50
71,XFX Radeon RX 580 8GB GTS XXX Graphics Card,162.0,Brand new,*Buy Now*,22-Aug 18:48,Free
72,BEST For Sapphire RX470 RX480 RX570 RX580 RX590 Graphics Cooling GPU Fan Y6O3,5.55,Brand new,*Buy Now*,22-Aug 18:18,Free
73,MSI Radeon RX580 4GB Gaming X,90.0,Pre-owned,*Buy Now*,22-Aug 16:53,9.95
74,"XFX RX 580 GTS XXX (8GB) OC Graphics Card, VR ready, Selling due to upgrade. ",137.5,Pre-owned,10 bids,22-Aug 16:36,4.10
75,MSI GAMING X RX 580 8GB Graphics Card 3,139.9,Pre-owned,*Buy Now*,22-Aug 16:32,5.00
76,SAPPHIRE RX 580 8GB Nitro+ GPU,122.0,Pre-owned,31 bids,22-Aug 15:46,4.10
77,Gigabyte GTX 1070 GTX 1070ti RX580 RX570 WINDFORCE FAN PLD09210S12HH 87mm 4PIN,17.0,Brand new,*Buy Now*,22-Aug 15:06,Free
78,MSI GAMING X RX 580 8GB Graphics Card,139.9,Pre-owned,*Buy Now*,22-Aug 14:33,5.00
79,Radeon RX 580 ARMOR SP - 8G,110.0,Pre-owned,8 bids,22-Aug 14:04,Free
80,T129215SU Cooler Fan For ASUS STRIX GTX 980TI RX480/580 R9 390X/R9 390 GTX 1060,10.07,Brand new,*Buy Now*,22-Aug 13:28,Free
81,Sapphire AMD Radeon Pulse RX 580 8gb Gddr5,138.0,Pre-owned,*Buy Now*,22-Aug 10:06,Free
82,Sonnet eGFX Breakaway Box 350W eGPU + AMD Radeon RX580 ideal for Mac,360.0,Pre-owned,14 bids,22-Aug 08:55,5.00
83,MSI Radeon RX 580 8 GB Armor OC Graphics Card - Currys,155.0,Brand new,*Buy Now*,21-Aug 21:50,Free
84,Sapphire Pulse OC RX 580 8GB 3,139.9,Pre-owned,*Buy Now*,21-Aug 20:41,5.00
85,Sapphire AMD Radeon RX 580 GDDR5 8GB NITRO+ Graphics Card,140.0,Refurbished,34 bids,21-Aug 19:25,8.00
86,Gygabite aorus rx 580 gpu 4gb cheap,75.0,Pre-owned,*Buy Now*,21-Aug 17:08,Free
87,SAPPHIRE Pulse Radeon RX 580 4G GDDR5 Dual HDMI/DVI-D/Dual DP Graphics Card,119.0,Pre-owned,*Buy Now*,21-Aug 14:27,7.00
88,PowerColor RX580 Red Devil 8GB,124.99,Pre-owned,*Buy Now*,21-Aug 11:33,8.00
89,Faulty Rx580,30.0,Pre-owned,1 bid,21-Aug 09:00,3.10
90,GIGABYTE AMD Radeon RX 580 8GB GDDR5 Gaming Graphics Card (GV-RX580GAMING-8GD),117.0,Pre-owned,*Buy Now*,21-Aug 08:48,4.99
91,MSI Radeon RX 580 GAMING X 8G ( R580GX8 ),190.0,Pre-owned,*Buy Now*,21-Aug 07:47,Free
92,Genuine SAPPHIRE NITRO+ RADEON RX 580 4GB G5 GPU in Excellent Condition UK,118.0,Refurbished,*Buy Now*,21-Aug 07:13,6.00
93,PowerColor RX480/RX580 4GB Red Dragon VR Ready Dual BIOS.,74.97,Refurbished,*Buy Now*,21-Aug 04:51,20.27
94,Sapphire Radeon Rx 580 8Gb Gddr5 Pulse Amd 11265-05-20G,150.0,Pre-owned,*Buy Now*,20-Aug 23:22,Free
95,ASRock Phantom Gaming X Radeon RX580 OC 8GB GDDR5 Graphics Card,130.0,Pre-owned,*Buy Now*,20-Aug 22:32,Free
96,XFX Radeon RX 580 8GB GTS XXX Graphics Card,100.0,Pre-owned,*Buy Now*,20-Aug 20:17,Free
0,MSI Radeon RX 580 ARMOR 8G OC Graphics Card - Pre Used but good condition,145.0,Pre-owned,16 bids,26-Aug 19:00,4.10
1,ASUS AREZ Radeon RX 580 Dual OC 8GB GDDR5 Graphics Card (AREZ-DUAL-RX580-O8G),105.0,Pre-owned,21 bids,26-Aug 18:31,5.00
2,SAPPHIRE NITRO+ RADEON RX 580 8GB GDDR5 GRAPHICS CARD. VERY GOOD CONDITION.,124.01,Pre-owned,14 bids,26-Aug 18:00,8.00
3,MSI Radeon RX580 4GB Gaming X,90.0,Pre-owned,*Buy Now*,26-Aug 16:07,9.95
4,ASUS Dual OC RX 580 8GB Graphics Card 5,134.99,Pre-owned,*Buy Now*,26-Aug 15:42,5.00
5, Sapphire 11265-01-20G Radeon NITRO+ RX 580 8GB GDDR5 DUAL HDMI/DVI-D/DUAL,161.34,Pre-owned,*Buy Now*,26-Aug 15:27,15.22
6,SAPPHIRE NITRO+ Radeon RX 580 8GB GDDR5 Graphics Card,198.0,Brand new,*Buy Now*,26-Aug 14:58,4.10
7,MSI Radeon RX 580 GAMING X 8 GB GDDR5 2xDP/2xHDMI/DVI-D Graphics Card,140.0,Pre-owned,*Buy Now*,26-Aug 14:54,Free
8,SAPPHIRE Nitro+ Radeon RX 580 8GB GDDR5 Graphics Card,166.71,Pre-owned,*Buy Now*,26-Aug 14:52,13.48
9,SAPPHIRE  RX 580 NITRO+ 8GB GDDR5 Graphics Card,145.0,Pre-owned,*Buy Now*,26-Aug 14:50,5.20
10,MSI Radeon RX 580 8GB ARMOR Graphics Card,154.49,Brand new,*Buy Now*,26-Aug 13:44,Free
11,Sapphire radeon pulse rx 580 8gb gddr5,129.99,Opened – never used,*Buy Now*,26-Aug 06:43,Free
12,"Sapphire RX 580 Nitro+ Graphics Card, 4GB GDDR5 OC edition",100.0,Pre-owned,*Buy Now*,25-Aug 23:07,12.00
13,MSI Radeon RX 580 8 GB Armor OC Graphics Card - Currys,155.0,Brand new,*Buy Now*,25-Aug 21:28,Free
14,SAPPHIRE NITRO+ Radeon RX 580 4GB GDDR5 Graphics Card (11265-07-20G),106.28,Pre-owned,27 bids,25-Aug 16:16,10.00
15,Sapphire AMD Radeon RX 580 GDDR5 8GB NITRO+ Graphics Card,150.0,Pre-owned,*Buy Now*,25-Aug 14:29,7.28
16,Rx 580 8gb untested,73.5,Pre-owned,19 bids,25-Aug 13:43,1.64
17,Sonnet eGFX Breakaway Box 350W eGPU + AMD Radeon RX580 ideal for Mac,351.0,Pre-owned,7 bids,25-Aug 12:36,15.00
18,GIGABYTE RADEON RX580 4GB DVI HDMI DisplayPort video graphics card,109.99,Pre-owned,*Buy Now*,25-Aug 12:28,Free
19,XFX RX580 8gb GTS OC Edition Graphics Card - PRISTINE,144.99,Pre-owned,*Buy Now*,25-Aug 10:52,Free
20,"MSI Radeon RX 580 ARMOR 8G OC Graphics Card Good condition , 1080p ultra 60fps",119.99,Pre-owned,*Buy Now*,25-Aug 08:16,Free
21,SAPPHIRE PULSE Radeon RX 580 8GB GDDR5 Graphics Card in box,129.0,Refurbished,7 bids,25-Aug 07:11,Free
22,SAPPHIRE NITRO+ Radeon RX 580 4GB GDDR5 Graphics Card (11265-07-20G),89.99,Pre-owned,1 bid,24-Aug 23:20,9.02
23,ASUS AMD Radeon ROG Strix RX 580 8gGB Gaming Graphics Card,126.0,Pre-owned,5 bids,24-Aug 22:51,7.39
24,ASUS Dual OC RX 580 8GB Graphics Card 2,134.99,Pre-owned,*Buy Now*,24-Aug 22:27,5.00
25,MSI Radeon RX 580 GAMING X 8 GB GDDR5 2xDP/2xHDMI/DVI-D Graphics Card,120.0,Pre-owned,5 bids,24-Aug 21:31,5.99
26,PowerColor Radeon RX 580 RED Dragon V2 Radeon RX580 Graphic Card 8 GB,129.99,Pre-owned,*Buy Now*,24-Aug 20:35,Free
27,"MSI Radeon RX 580 ARMOR 8G OC Graphics Card Good condition , 1080p ultra 60fps",130.0,Pre-owned,*Buy Now*,24-Aug 19:36,5.20
28,PowerColor Radeon RX 580 RED Dragon V2 Radeon RX580 Graphic Card 8 GB,149.99,Pre-owned,*Buy Now*,24-Aug 19:10,2.99
29,GPU Cooler Graphics Card Fan GIGABYTE GV-RX570AORUS GVRX580AORUS Replacement New,13.99,Brand new,*Buy Now*,24-Aug 18:56,Free
30,Sapphire Radeon Rx 580 8Gb Gddr5 Pulse Amd 11265-05-20G,150.0,Pre-owned,*Buy Now*,24-Aug 14:52,Free
31,radeon rx 580 8gb red dragon,111.0,Pre-owned,6 bids,24-Aug 13:52,4.10
32,SAPPHIRE Radeon RX 580 8gb NITRO Special Edition,175.0,Pre-owned,*Buy Now*,24-Aug 13:47,7.10
33,Genuine SAPPHIRE NITRO+ RADEON RX 580 4GB G5 GPU in Excellent Condition UK,118.0,Refurbished,*Buy Now*,24-Aug 13:24,5.99
34,SAPPHIRE 11265-01-20G Radeon RX 580 8GB GDDR5 Graphics Card,130.0,Pre-owned,*Buy Now*,24-Aug 12:55,6.00
35,MSI Apple Mac Pro AMD Radeon RX580 8GB PCI-E Video Card 7950 Catalina 680 K5000,272.94,New (other),*Buy Now*,24-Aug 12:06,65.64
36,MSI Radeon RX 580 ARMOR 8GB OC Graphics Card GPU ,110.0,Pre-owned,*Buy Now*,24-Aug 10:43,Free
37,Genuine SAPPHIRE NITRO+ RADEON RX 580 4GB G5 GPU in Excellent Condition UK,118.0,Refurbished,*Buy Now*,24-Aug 09:25,5.99
38,ASUS Dual OC RX 580 8GB Graphics Card 3,134.99,Pre-owned,*Buy Now*,23-Aug 21:07,5.00
39,SAPPHIRE Pulse AMD Radeon RX 580 4GB GDDR5 graphics card - excellent condition,95.0,Pre-owned,14 bids,23-Aug 20:59,Free
40,ASUS Dual OC RX 580 8GB Graphics Card,134.99,Pre-owned,*Buy Now*,23-Aug 20:46,5.00
41,PowerColor Radeon RX 580 RED Dragon V2 Graphic Card 8 GB,125.0,Pre-owned,*Buy Now*,23-Aug 20:31,Free
43,PowerColor Red Devil Radeon RX 580 8GB GDDR5 Golden Sample,127.0,Pre-owned,16 bids,23-Aug 18:39,8.80
44,Sapphire Radeon Pulse RX 580 8gb GDDR5 11265-05-20G,125.0,Pre-owned,1 bid,23-Aug 13:45,4.10
45,MSI GAMING X RX 580 8GB Graphics Card 2,139.9,Pre-owned,*Buy Now*,23-Aug 13:23,5.00
46,"AMD APPLE Radeon RX 580 NITRO 8GB Mac Edition With Boot screen, for Mac Pro",359.95,Refurbished,*Buy Now*,23-Aug 13:14,Free
47,MSI Radeon RX 580 Gaming X Plus 8GB DDR5 Perfect Condition Tested and Working,134.0,Pre-owned,9 bids,23-Aug 11:52,5.00
48,SAPPHIRE 11265-01-20G Radeon RX 580 8GB GDDR5 Graphics Card,160.0,Refurbished,*Buy Now*,23-Aug 01:31,Free
49,Gigabyte Aorus AMD Radeon Rx 580 4GB GV-RX580AORUS-4GD,131.28,Pre-owned,*Buy Now*,23-Aug 01:22,54.70
50,MSI Radeon RX 580 ARMOR 8G OC Graphics Card - Pre Used but good condition,145.0,Pre-owned,16 bids,26-Aug 19:00,4.10
51,ASUS AREZ Radeon RX 580 Dual OC 8GB GDDR5 Graphics Card (AREZ-DUAL-RX580-O8G),105.0,Pre-owned,21 bids,26-Aug 18:31,5.00
52,SAPPHIRE NITRO+ RADEON RX 580 8GB GDDR5 GRAPHICS CARD. VERY GOOD CONDITION.,124.01,Pre-owned,14 bids,26-Aug 18:00,8.00
53,MSI Radeon RX580 4GB Gaming X,90.0,Pre-owned,*Buy Now*,26-Aug 16:07,9.95
54,ASUS Dual OC RX 580 8GB Graphics Card 5,134.99,Pre-owned,*Buy Now*,26-Aug 15:42,5.00
55, Sapphire 11265-01-20G Radeon NITRO+ RX 580 8GB GDDR5 DUAL HDMI/DVI-D/DUAL,161.34,Pre-owned,*Buy Now*,26-Aug 15:27,15.22
