,title,price,condition,bids,sold date,postage
79, Cooling Fan For Gigabyte GeForce GTX 1070 1050 Ti GTX 1060 960 RX 480 570 88MM ,7.96,Brand new,*Buy Now*,24-Aug 09:45,Free
80,SAPPHIRE Nitro AMD Radeon RX 570 4GB GDDR5 Graphics Card,90.0,Pre-owned,21 bids,23-Aug 23:17,4.10
81,"MSI RADEON RX 570 ARMOR 8G OC Graphics Card '8GB GDDR5, 1268Hz, AMD Polaris 20",117.0,Opened – never used,12 bids,23-Aug 23:09,5.20
82,"PowerColor Radeon RX 570 Red Dragon, 4GB GDDR5",70.0,Pre-owned,*Buy Now*,23-Aug 20:45,17.00
83,Perfect Condition GIGABYTE Radeon RX 570 4GB Video Card (GV-RX570GAMING-4GD-MI),87.02,Pre-owned,15 bids,23-Aug 15:38,4.36
84,SAPPHIRE NITRO+ OC RX 570 4GB GDDR5 Graphics Card 5,89.99,Pre-owned,*Buy Now*,23-Aug 14:51,5.00
85,Asus Radeon RX 570 ROG STRIX 4GB GDDR5 GAMING GPU VIDEO CARD,91.0,Pre-owned,26 bids,23-Aug 12:15,4.10
87,PowerColor Red Devil AMD Radeon™ RX 570 4GB,78.0,Pre-owned,4 bids,23-Aug 00:43,5.00
88,Cooler Fan for MSI RX470 480 570 580 GTX1080Ti 1080 1070 1060 GAMING Card ,14.48,Brand new,*Buy Now*,22-Aug 20:49,Free
89, RX 470 RX 480 RX 570 RX580 rx480 rx580 Bios MOD H.R 27/31 800+ CryptoNig mining,3.8,Brand new,*Buy Now*,22-Aug 19:49,Free
90,XFX Radeon RX 570 8GB XXX Graphics Card,147.49,Brand new,*Buy Now*,22-Aug 19:14,Free
91,ASUS AMD Radeon RX 570 8GB GDDR5 Strix Edition Graphic Card,114.0,Pre-owned,9 bids,22-Aug 18:50,Free
92,SAPPHIRE Radeon RX 570 4GB Pulse,64.45,Pre-owned,27 bids,22-Aug 18:24,22.53
93,BEST For Sapphire RX470 RX480 RX570 RX580 RX590 Graphics Cooling GPU Fan Y6O3,5.55,Brand new,*Buy Now*,22-Aug 18:18,Free
94,MSI AMD Radeon RX 570 ARMOR 8G OC GDDR5 Graphics Card,91.0,Pre-owned,18 bids,22-Aug 16:34,9.49
95,Gigabyte GTX 1070 GTX 1070ti RX580 RX570 WINDFORCE FAN PLD09210S12HH 87mm 4PIN,17.0,Brand new,*Buy Now*,22-Aug 15:06,Free
96,Asus ROG STRIX RX570 4G GAMING independent  graphics card/video card 4GB,123.91,Pre-owned,*Buy Now*,22-Aug 00:52,Free
97,Asus Radeon RX 570 ROG STRIX GAMING OC Edition 4GB GDDR5 Graphics Card GPU,81.99,Pre-owned,*Buy Now*,22-Aug 00:41,12.36
98,SAPPHIRE NITRO+ RX 570 4GB GDDR5 Graphics Card,75.0,Pre-owned,*Buy Now*,21-Aug 21:40,17.00
99,SAPPHIRE NITRO+ OC RX 570 4GB GDDR5 Graphics Card 2,89.99,Pre-owned,*Buy Now*,21-Aug 20:22,5.00
